id|party|title|text_url|entry_date|publication_date|dar_ref|authors|number_authors
7/A/XV/1|PSD|Decreto-Lei n.º 78/2022, de 7 de novembro “Altera a Lei n.º 30/2021, de 21 de maio, que aprova medidas especiais de contratação pública, o Código dos Contratos Públicos e o Decreto-Lei n.º 60/2018, de 3 de agosto, que procede à simplificação de procedimentos administrativos necessários à prossecução de atividades de investigação e desenvolvimento.”|http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595339694f4468684f574d795979316c4e4749334c54526b5a544d744f4455355a5330304e6d466c595445774e6d59315a6a67755a47396a&fich=b88a9c2c-e4b7-4de3-859e-46aea106f5f8.doc&Inline=true|2022-12-07|2022-12-10|11-13/51/II-B/XV/1|PAULO RIOS DE OLIVEIRA, MÁRCIA PASSOS, JORGE SALGUEIRO MENDES, ANTÓNIO PRÔA, ANTÓNIO TOPA GOMES, CARLOS EDUARDO REIS, PATRÍCIA DANTAS, ALEXANDRE POÇO, BRUNO COIMBRA, HUGO CARNEIRO, LUÍS GOMES, JORGE PAULO OLIVEIRA, NUNO CARVALHO, PAULO MONIZ, RUI CRISTINA|15
6/A/XV/1|PSD|Decreto-Lei n.º 52/2022, de 4 de agosto “Aprova o Estatuto do Serviço Nacional de Saúde”|http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338324e6d46694d7a6b314f53316a4d546b304c5452695a5751744f54677a4d53316a4d5751354e324e684f444269597a63755a47396a&fich=66ab3959-c194-4bed-9831-c1d97ca80bc7.doc&Inline=true|2022-09-14|2022-09-17|13-15/35/II-B/XV/1|RICARDO BAPTISTA LEITE, ANTÓNIO MALÓ DE ABREU, RUI CRISTINA, PEDRO MELO LOPES, CLÁUDIA BENTO, FÁTIMA RAMOS, FERNANDA VELEZ, HELGA CORREIA, JORGE SALGUEIRO MENDES, MIGUEL SANTOS|10
5/A/XV/1|CH|Do Decreto-Lei n.º 57-C/2022, de 6 de setembro, que “Estabelece medidas excecionais de apoio às famílias para mitigação dos efeitos da inflação”|http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c3259533878596a4a684e545530597930775a4746684c54526d4d6a63744f446c6c4e5331684d544d325a5441314d4752684d5455755a47396a65413d3d&fich=1b2a554c-0daa-4f27-89e5-a136e050da15.docx&Inline=true|2022-09-09|2022-09-10|7-8/34/II-B/XV/1|ANDRÉ VENTURA, BRUNO NUNES, DIOGO PACHECO DE AMORIM, FILIPE MELO, GABRIEL MITHÁ RIBEIRO, JORGE GALVEIAS, PEDRO DOS SANTOS FRAZÃO, PEDRO PESSANHA, PEDRO PINTO, RITA MATIAS, RUI AFONSO, RUI PAULO SOUSA|12
4/A/XV/1|PSD|Decreto-Lei n.º 57-C/2022, de 6 de setembro, que “Estabelece medidas excecionais de apoio às famílias para mitigação dos efeitos da inflação”|http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338314e3245775a6d52684e6930354e6a526c4c5451334e7a6774595455305a6930775a6d5a6c5a5467354d54466d5a6a51755a47396a65413d3d&fich=57a0fda6-964e-4778-a54f-0ffee8911ff4.docx&Inline=true|2022-09-07|2022-09-10|34/II-B/XV/1|JOAQUIM MIRANDA SARMENTO, RICARDO BAPTISTA LEITE, JOÃO MOURA, PAULA CARDOSO, PAULO RIOS DE OLIVEIRA, CATARINA ROCHA FERREIRA, CLARA MARQUES MENDES, JOAQUIM PINTO MOREIRA, ANDREIA NETO, HUGO PATRÍCIO OLIVEIRA, HUGO CARNEIRO, ALEXANDRE POÇO, LUÍS GOMES, EMÍLIA CERQUEIRA, SÓNIA RAMOS|15
3/A/XV/1|CH|Decreto-Lei n.º 52/2022, de 4 de agosto, que “Aprova o Estatuto do Serviço Nacional de Saúde”|http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953396b4e3249335a6a6b304d53316d4e4749774c5451314d4449745954453159533031596a6b774f4759774d4459774e5441755a47396a65413d3d&fich=d7b7f941-f4b0-4502-a15a-5b908f006050.docx&Inline=true|2022-08-04|2022-08-04 2022-08-27|2-2/26/II-B/XV/1 2-2/31/II-B/XV/1|ANDRÉ VENTURA, BRUNO NUNES, DIOGO PACHECO DE AMORIM, FILIPE MELO, GABRIEL MITHÁ RIBEIRO, JORGE GALVEIAS, PEDRO DOS SANTOS FRAZÃO, PEDRO PESSANHA, PEDRO PINTO, RITA MATIAS, RUI AFONSO, RUI PAULO SOUSA|12
2/A/XV/1|PSD|Decreto-Lei n.º 50-A/2022, de 25 de julho, que “Estabelece o regime remuneratório do trabalho suplementar realizado por médicos em serviços de urgência”|http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953396b4e324a6b4e5745775a6930345a54526a4c5451774e3259744f5441324e43316c4f545668595455354d5451324f4745755a47396a&fich=d7bd5a0f-8e4c-407f-9064-e95aa591468a.doc&Inline=true|2022-07-26|2023-01-21|14-15/58/II-B/XV/1|JOAQUIM MIRANDA SARMENTO, RICARDO BAPTISTA LEITE, RUI CRISTINA, PEDRO MELO LOPES, HUGO PATRÍCIO OLIVEIRA, CLÁUDIA BENTO, FERNANDA VELEZ, MIGUEL SANTOS, FÁTIMA RAMOS, HELGA CORREIA|10
1/A/XV/1|PSD|Decreto-Lei n.º 45/2022, de 8 de julho - Altera o Regime Jurídico dos Instrumentos de Gestão Territorial, prorrogando o prazo para incluir nos planos municipais e intermunicipais as regras de classificação e qualificação dos solos.|http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338794d5746694d325a6d4f4330334d4441304c5452694d6a5974596d526d4f53307a4d7a55314e4755344e4468694e5445755a47396a&fich=21ab3ff8-7004-4b26-bdf9-33554e848b51.doc&Inline=true|2022-07-21|2022-07-22|8-9/23/II-B/XV/1|LUÍS GOMES, SOFIA MATOS, JOÃO BARBOSA DE MELO, FÁTIMA RAMOS, FIRMINO MARQUES, FIRMINO PEREIRA, GUILHERME ALMEIDA, GUSTAVO DUARTE, ISAURA MORAIS, JOAQUIM PINTO MOREIRA, JORGE PAULO OLIVEIRA, JOSÉ SILVANO, GABRIELA FONSECA, GERMANA ROCHA, MIGUEL SANTOS|15
9/I/XV/1|CH|Comissão Eventual de Inquérito Parlamentar para avaliação da actuação do Serviço de Informações de Segurança (SIS) e Sistema de Informações da República Portuguesa (SIRP), bem como da tutela política governamental destas instituições|http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953396d5a5759324e6d4d334d4331685a4468694c5451304e7a6b7459575930595330354e4468695932566b5a6a55304d6a4d755a47396a65413d3d&fich=fef66c70-ad8b-4479-af4a-948bcedf5423.docx&Inline=true|2023-05-15|2023-06-17|45-45/142/I série/XV/1|ANDRÉ VENTURA, BRUNO NUNES, DIOGO PACHECO DE AMORIM, FILIPE MELO, GABRIEL MITHÁ RIBEIRO, JORGE GALVEIAS, PEDRO DOS SANTOS FRAZÃO, PEDRO PESSANHA, PEDRO PINTO, RITA MATIAS, RUI AFONSO, RUI PAULO SOUSA|12
8/I/XV/1|IL|Comissão Eventual de Inquérito à Atuação do Serviço de Informações de Segurança (SIS)|http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338314e4441334e6a6330597930354e7a55344c54526c4d7a41744f574d775a433168595759325a574d31597a426c4d4455755a47396a65413d3d&fich=5407674c-9758-4e30-9c0d-aaf6ec5c0e05.docx&Inline=true|2023-05-04|2023-06-17|45-45/142/I série/XV/1|RODRIGO SARAIVA, BERNARDO BLANCO, CARLA CASTRO, CARLOS GUIMARÃES PINTO, JOANA CORDEIRO, JOÃO COTRIM FIGUEIREDO, PATRÍCIA GILVAZ, RUI ROCHA|8
7/I/XV/1|BE|Comissão Eventual de Inquérito Parlamentar à Tutela Política da Gestão da TAP|http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338335a544e695a54426b4e533034596a646b4c5451774e7a6374595755794f53316a5a6d51354d7a51794e474a694d5455755a47396a65413d3d&fich=7e3be0d5-8b7d-4077-ae29-cfd93424bb15.docx&Inline=true|2023-01-06|2023-02-04|46-46/85/I série/XV/1|PEDRO FILIPE SOARES, MARIANA MORTÁGUA, CATARINA MARTINS, JOANA MORTÁGUA, JOSÉ MOURA SOEIRO|5
